Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of International Relations majoring in French Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-french-studies/dom/
Bachelor of International Relations majoring in German Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-german-studies/dom/
Bachelor of International Relations majoring in History,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-history/dom/
Bachelor of International Relations majoring in International Development,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-international-development/dom/
Bachelor of International Relations majoring in International Security,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-international-security/dom/
Bachelor of International Relations majoring in Italian Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-italian-studies/dom/
Bachelor of International Relations majoring in Japanese Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-japanese-studies/dom/
Bachelor of International Relations majoring in Politics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-politics/dom/
Bachelor of International Relations majoring in Population and Migration Studies,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-population-and-migration-studies/dom/
Bachelor of International Relations majoring in Spanish Studies,70.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-international-relations-spanish-studies/dom/
Bachelor of Journalism,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-journalism/dom/
"Bachelor of Laws (Honours), Bachelor of Arts",,None,None,On Campus,"Adelaide City, Magill",Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-arts/dom/
"Bachelor of Laws (Honours), Bachelor of International Relations",,None,None,On Campus,Adelaide City,Full time or part time,5 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-laws-honours-bachelor-of-international-relations/dom/
"Bachelor of Philosophy, Politics and Economics",70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-philosophy-politics-and-economics/dom/
