Degree Name,Guaranteed ATAR score,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Science majoring in Space Science and Astrophysics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-space-science-and-astrophysics/dom/
Bachelor of Science majoring in Theoretical Physics,70.0,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-science-theoretical-physics/dom/
Bachelor of Sustainability and Climate Change,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change/dom/
Bachelor of Sustainability and Climate Change majoring in Aboriginal Studies,,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-aboriginal-studies/dom/
Bachelor of Sustainability and Climate Change majoring in Anthropology,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-anthropology/dom/
Bachelor of Sustainability and Climate Change majoring in Environmental Management,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-environmental-management/dom/
Bachelor of Sustainability and Climate Change majoring in Geography,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-geography/dom/
Bachelor of Sustainability and Climate Change majoring in International Development,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-international-development/dom/
Bachelor of Sustainability and Climate Change majoring in International Security,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-international-security/dom/
Bachelor of Sustainability and Climate Change majoring in Politics,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-politics/dom/
Bachelor of Sustainability and Climate Change majoring in Population and Migration Studies,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-population-and-migration-studies/dom/
Bachelor of Sustainability and Climate Change majoring in Sociology,80.0,None,None,On Campus,"Adelaide City, Magill",Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-sustainability-and-climate-change-sociology/dom/
Bachelor of Veterinary Technology,80.0,None,SACE Stage 2 Mathematical Methods (or equivalent),On Campus,Roseworthy,Full time or part time,3 year(s) full-time,February,https://adelaideuni.edu.au/study/degrees/bachelor-of-veterinary-technology/dom/
Bachelor of Viticulture and Oenology,70.0,None,SACE Stage 2 Chemistry and Mathematical Methods IB (or equivalent),On Campus,"Waite, Adelaide City",Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-viticulture-and-oenology/dom/
